PLAYER,MP,POS,Old Team,New Team,16-17 WS
Jodie Meeks,738,SG,ORL,WAS,1.122375
Otto Porter,2605,SF,WAS,WAS,9.388854167
Mike Scott,195,PF,PHX,WAS,-0.056875
Tim Frazier,1525,PG,NOP,WAS,2.3828125
Joe Ingles,1972,SF,UTA,UTA,5.05325
Jonas Jerebko,1232,PF,BOS,UTA,2.053333333
Thabo Sefolosha,1596,SF,ATL,UTA,3.2585
Ekpe Udoh,#N/A,#N/A,INL,UTA,#N/A
Ricky Rubio,2469,PG,MIN,UTA,6.1210625
Serge Ibaka,1710,PF,TOR,TOR,3.8475
Kyle Lowry,2244,PG,TOR,TOR,10.098
C.J. Miles,1776,SF,IND,TOR,4.033
Joffrey Lauvergne,241,C,CHI,SAS,0.125520833
Pau Gasol,1627,C,SAS,SAS,6.440208333
Rudy Gay,1013,SF,SAC,SAS,1.8360625
Manu Ginobili,1291,SG,SAS,SAS,2.958541667
Patty Mills,1754,PG,SAS,SAS,5.079291667
Vince Carter,1799,SF,MEM,SAC,3.972791667
George Hill,1544,PG,UTA,SAC,5.854333333
Zach Randolph,1786,PF,MEM,SAC,3.199916667
Andrew Nicholson,111,PF,BKN,POR,-0.069375
Alan Williams,708,C,PHX,PHX,2.0945
Robert Covington,2119,SF,PHI,PHI,3.134354167
Amir Johnson,1608,PF,BOS,PHI,4.9915
J.J. Redick,2198,SG,LAC,PHI,4.808125
Arron Afflalo,1580,SG,SAC,ORL,1.415416667
Shelvin Mack,1205,PG,UTA,ORL,1.355625
Jonathon Simmons,1392,SG,SAS,ORL,1.972
Marreese Speights,1286,C,LAC,ORL,4.152708333
Nick Collison,128,PF,OKC,OKC,0.386666667
Raymond Felton,1700,PG,LAC,OKC,1.947916667
Jerami Grant,1490,SF,OKC,OKC,3.042083333
Patrick Patterson,1599,PF,TOR,OKC,3.33125
Andre Roberson,2376,SF,OKC,OKC,4.2075
Paul George,2689,SF,IND,OKC,7.058625
Tim Hardaway,2154,SG,ATL,NYK,4.801625
Ramon Sessions,811,PG,CHO,NYK,0.929270833
Ron Baker,857,SG,NYK,NYK,-0.142833333
Jrue Holiday,2190,PG,NOP,NOP,3.8325
Rajon Rondo,1843,PG,CHI,NOP,2.30375
Jamal Crawford,2157,SG,ATL,MIN,1.9323125
Taj Gibson,1502,PF,OKC,MIN,3.254333333
Jeff Teague,2657,PG,IND,MIN,8.081708333
Jimmy Butler,2809,SF,CHI,MIN,13.81091667
Spencer Hawes,626,PF,MIL,MIL,1.121583333
Greg Monroe,1823,C,MIL,MIL,5.5829375
Tony Snell,2336,SG,MIL,MIL,3.455333333
Udonis Haslem,130,C,MIA,MIA,0.200416667
James Johnson,2085,PF,MIA,MIA,5.0821875
Josh McRoberts,381,PF,MIA,MIA,0.28575
Kelly Olynyk,1538,C,BOS,MIA,4.069291667
Dion Waiters,1384,SG,MIA,MIA,1.6435
Mario Chalmers,#N/A,#N/A,MEM,MEM,#N/A
Tyreke Evans,474,SF,SAC,MEM,0.523375
Ben McLemore,1176,SG,SAC,MEM,0.3675
Wayne Selden,189,SG,MEM,MEM,-0.007875
Kentavious Caldwell-Pope,2529,SG,DET,LAL,4.531125
Tyler Ennis,196,PG,LAL,LAL,-0.249083333
Brook Lopez,2222,C,BRK,LAL,4.860625
Danilo Gallinari,2134,SF,DEN,LAC,6.846583333
Blake Griffin,2076,PF,LAC,LAC,7.74175
DeAndre Liggins,752,SG,LAC,LAC,0.391666667
Milos Teodosic,#N/A,#N/A,INL,LAC,#N/A
Willie Reed,1031,C,MIA,LAC,3.6085
Patrick Beverley,2058,SG,HOU,LAC,5.273625
Sam Dekker,1419,SF,HOU,LAC,3.0745
Montrezl Harrell,1064,C,HOU,LAC,4.0565
Lou Williams,591,SG,HOU,LAC,1.182
Bojan Bogdanovic,1482,SF,WAS,IND,1.6055
Darren Collison,2063,PG,SAC,IND,3.911104167
Victor Oladipo,2222,SG,OKC,IND,3.934791667
Domantas Sabonis,1632,PF,OKC,IND,0.748
